city_state,income_avg
"pottawatomie, ks",57495
"pratt, ks",53750
"rawlins, ks",65230
"reno, ks",44529
"republic, ks",49163
"rice, ks",46275
"riley, ks",45177
"rooks, ks",46817
"rush, ks",59190
"russell, ks",48430
"saline, ks",53320
"scott, ks",60520
"sedgwick, ks",56550
"seward, ks",43606
"shawnee, ks",51216
"sheridan, ks",50691
"sherman, ks",48439
"smith, ks",54497
"stafford, ks",50623
"stanton, ks",85633
"stevens, ks",48686
"sumner, ks",44392
"thomas, ks",51457
"trego, ks",56311
"wabaunsee, ks",54428
"wallace, ks",59159
"washington, ks",52731
"wichita, ks",61032
"wilson, ks",45341
"woodson, ks",43381
"wyandotte, ks",36961
"adair, ky",35880
"allen, ky",35499
"anderson, ky",44009
"ballard, ky",45124
"barren, ky",41057
"bath, ky",35333
"bell, ky",34618
"boone, ky",53405
"bourbon, ky",51624
"boyd, ky",43917
"boyle, ky",43024
"bracken, ky",42258
"breathitt, ky",38011
"breckinridge, ky",39084
"bullitt, ky",46618
"butler, ky",38969
"caldwell, ky",40364
"calloway, ky",38629
"campbell, ky",53445
"carlisle, ky",48900
"carroll, ky",41568
"carter, ky",36002
"casey, ky",36436
"christian, ky",42884
"clark, ky",43952
"clay, ky",35259
"clinton, ky",35609
"crittenden, ky",39879
"cumberland, ky",44628
"daviess, ky",46373
"edmonson, ky",37223
"elliott, ky",27001
"estill, ky",36569
"fayette, ky",54824
"fleming, ky",39846
"floyd, ky",41330
"franklin, ky",47009
"fulton, ky",39745
"gallatin, ky",38178
"garrard, ky",38822
"grant, ky",40772
"graves, ky",42264
"grayson, ky",38959
"green, ky",39882
"greenup, ky",45897
"hancock, ky",40261
"hardin, ky",47873
"harlan, ky",35824
"harrison, ky",41079
"hart, ky",37418
"henderson, ky",44793
"henry, ky",43426
"hickman, ky",46425
"hopkins, ky",42918
"jackson, ky",33106
"jefferson, ky",57863
"jessamine, ky",49406
"johnson, ky",37769
"kenton, ky",62500
"knott, ky",35697
"knox, ky",33797
"larue, ky",42333
"laurel, ky",37869
"lawrence, ky",36446
"lee, ky",32694
"leslie, ky",38666
"letcher, ky",35770
"lewis, ky",36806
"lincoln, ky",37303
"livingston, ky",43379
"logan, ky",40963
"lyon, ky",40843
"madison, ky",39093
"magoffin, ky",38033
"marion, ky",41225
"marshall, ky",45975
"martin, ky",32383
"mason, ky",45488
"mccracken, ky",52171
"mccreary, ky",30943
"mclean, ky",43162
"meade, ky",44720
"menifee, ky",35489
"mercer, ky",41025
"metcalfe, ky",35804
"monroe, ky",42638
"montgomery, ky",39549
"morgan, ky",31500
"muhlenberg, ky",37328
"nelson, ky",47784
"nicholas, ky",39531
"ohio, ky",36606
"oldham, ky",68986
"owen, ky",37464
"owsley, ky",36830
"pendleton, ky",46524
"perry, ky",43661
"pike, ky",39450
"powell, ky",37224
"pulaski, ky",41989
"robertson, ky",39137
"rockcastle, ky",35809
"rowan, ky",34561
"russell, ky",40672
"scott, ky",47509
"shelby, ky",50602
"simpson, ky",42537
"spencer, ky",49066
"taylor, ky",39488
"todd, ky",41672
"trigg, ky",41497
"trimble, ky",44227
"union, ky",41157
"warren, ky",40705
"washington, ky",41902
"wayne, ky",33258
"webster, ky",42496
"whitley, ky",38256
"wolfe, ky",36449
"woodford, ky",54911
"acadia, la",40916
"allen, la",37054
"ascension, la",54395
"assumption, la",51585
"avoyelles, la",41977
"beauregard, la",47003
"bienville, la",42372
"bossier, la",48907
"caddo, la",55047
"calcasieu, la",50994
"caldwell, la",38705
"cameron, la",49224
"catahoula, la",39357
"claiborne, la",36281
"concordia, la",38891
"de soto, la",45615
"east baton rouge, la",56484
"east carroll, la",41875
"east feliciana, la",44787
"evangeline, la",37820
"franklin, la",37754
"grant, la",34870
"iberia, la",44242
"iberville, la",46461
"jackson, la",37665
"jefferson, la",55373
"jefferson davis, la",45620
"lafayette, la",52507
"lafourche, la",48741
"lasalle, la",36116
"lincoln, la",44944
"livingston, la",45620
"madison, la",38337
"morehouse, la",44187
"natchitoches, la",43702
"orleans, la",57421
"ouachita, la",45661
"plaquemines, la",51456
"pointe coupee, la",52332
"rapides, la",50226
"red river, la",45680
"richland, la",42644
"sabine, la",38190
"st. bernard, la",36093
"st. charles, la",53148
"st. helena, la",48743
"st. james, la",56880
"st. john the baptist, la",45927
"st. landry, la",46131
"st. martin, la",42203
"st. mary, la",45760
"st. tammany, la",70190
"tangipahoa, la",41792
"tensas, la",44043
"terrebonne, la",45942
"union, la",43609
"vermilion, la",42526
"vernon, la",45320
"washington, la",38515
"webster, la",45088
"west baton rouge, la",51758
"west carroll, la",37148
"west feliciana, la",41145
"winn, la",41491
"androscoggin, me",46357
"aroostook, me",47605
"cumberland, me",68237
"franklin, me",43276
"hancock, me",55393
"kennebec, me",50469
"knox, me",54363
"lincoln, me",54300
"oxford, me",42327
"penobscot, me",47315
"piscataquis, me",42527
"sagadahoc, me",55965
"somerset, me",43134
"waldo, me",47495
"washington, me",45558
"york, me",58038
"allegany, md",43970
"anne arundel, md",72197
"baltimore, md",66585
"baltimore city, md",54097
"calvert, md",66469
"caroline, md",48393
"carroll, md",66901
"cecil, md",51853
"charles, md",61324
"dorchester, md",49921
"frederick, md",66664
"garrett, md",48630
"harford, md",63432
"howard, md",81969
"kent, md",64331
"montgomery, md",89552
"prince george's, md",54195
"queen anne's, md",67861
"somerset, md",32531
"st. mary's, md",61144
"talbot, md",76528
"washington, md",50493
"wicomico, md",44184
"worcester, md",59881
"barnstable, ma",80420
"berkshire, ma",61872
"bristol, ma",61031
"dukes, ma",89757
"essex, ma",74519
"franklin, ma",59853
"hampden, ma",57821
"hampshire, ma",57030
"middlesex, ma",90688
"nantucket, ma",114832
"norfolk, ma",98019
"plymouth, ma",74034
"suffolk, ma",90571
"worcester, ma",63286
"alcona, mi",44953
"alger, mi",37951
"allegan, mi",50091
"alpena, mi",45685
"antrim, mi",52490
"arenac, mi",43466
"baraga, mi",38750
"barry, mi",49232
"bay, mi",47786
"benzie, mi",50509
"berrien, mi",52395
"branch, mi",42356
"calhoun, mi",44729
